Row,y,PAamp,PBamp,PCamp,PDamp,PFamp,PAr10,PAr20,PAr30,PAr40,PAr50,PAr60,PAr70,PAr80,PAr90,PAr95,PAr100,PAf95,PAf90,PAf80,PAf40,PAf20,PBr10,PBr20,PBr30,PBr40,PBr50,PBr60,PBr70,PBr80,PBr90,PBr95,PBr100,PBf95,PBf90,PBf80,PBf40,PBf20,PCr10,PCr20,PCr30,PCr40,PCr50,PCr60,PCr70,PCr80,PCr90,PCr95,PCr100,PCf95,PCf90,PCf80,PCf40,PCf20,PDr10,PDr20,PDr30,PDr40,PDr50,PDr60,PDr70,PDr80,PDr90,PDr95,PDr100,PDf95,PDf90,PDf80,PDf40,PDf20,PFr10,PFr20,PFr30,PFr40,PFr50,PFr60,PFr70,PFr80,PFr90,PFr95,PFr100,PFf95,PFf90,PFf80,PFf40,PFf20
1039,-41.01,3.659E-07,2.793E-07,1.805E-07,3.382E-07,2.016E-07,-0.00000435,0,0.0000039,0.00000792,0.00001246,0.00001811,0.00002565,0.00003621,0.00005125,0.00006238,0.00008895,0.0001185,0.0001318,0.000155,0.000334,0.0005427,-0.00000858,-0.00000333,0.000002067,0.000008621,0.00001563,0.00002306,0.00003073,0.00004039,0.00005284,0.00006215,0.00009215,0.0001234,0.0001435,0.0001987,0.0004871,0.0007383,0.00004615,0.00005736,0.0000692,0.00008018,0.0000913,0.000103,0.0001186,0.0001371,0.0001635,0.0001821,0.0002465,0.000273,0.0003205,0.0003781,0.0006616,0.0009356,-0.00000283,0.000003461,0.00000871,0.00001372,0.00001911,0.00002536,0.00003262,0.00004182,0.00005608,0.00006681,0.00009615,0.0001487,0.0001787,0.0002256,0.0004997,0.000796,0.00002426,0.00003484,0.00004367,0.00005238,0.0000614,0.00007088,0.00008174,0.00009766,0.000118,0.0001348,0.0001785,0.0002335,0.0002661,0.0003227,0.0005848,0.0008544
1063,-24.077,3.621E-07,2.707E-07,2.477E-07,5.427E-07,3.199E-07,-0.00000705,0,0.000005791,0.00001134,0.00001699,0.00002311,0.00003017,0.00003976,0.00005463,0.00006646,0.0001176,0.0001577,0.0001838,0.0002349,0.0004665,0.0006867,-0.00000687,0.000001577,0.000009069,0.00001654,0.00002435,0.0000325,0.00004262,0.00005617,0.00007456,0.00009105,0.0001232,0.0002017,0.0002355,0.0002952,0.0005665,0.0008301,0.00001404,0.0000262,0.000039,0.00005027,0.00006282,0.0000784,0.00009294,0.000113,0.000144,0.0001647,0.0002112,0.0002625,0.0003191,0.0003755,0.0006675,0.0009558,-0.0000281,-0.0000232,-0.0000188,-0.0000145,-0.00000983,-0.00000428,0.000002789,0.00001237,0.00002713,0.00003941,0.00007289,0.0001277,0.0001587,0.0002151,0.0005022,0.0007818,-0.00002,-0.0000135,-0.00000787,-0.00000237,0.000003672,0.000011,0.00002048,0.00003186,0.0000506,0.00006558,0.0001008,0.0001809,0.0002144,0.0002813,0.0005749,0.0008533
1091,-41.01,3.741E-07,2.798E-07,1.769E-07,2.921E-07,0.00000019,-0.00000445,0,0.000004142,0.000008655,0.00001396,0.00002049,0.00002885,0.00003955,0.00005483,0.00006551,0.00009571,0.0001299,0.0001467,0.0001727,0.0003339,0.000531,-0.00000603,-0.000000782,0.000004673,0.00001069,0.00001725,0.00002421,0.00003172,0.00004067,0.00005283,0.00006184,0.00008531,0.0001212,0.0001413,0.0001811,0.0004595,0.0007198,0.0000466,0.00006036,0.00006981,0.0000803,0.00009122,0.0001018,0.0001161,0.0001346,0.0001547,0.000184,0.0002317,0.0002775,0.000325,0.0003876,0.0006446,0.000894,0.000003232,0.000009272,0.00001456,0.00001964,0.00002502,0.00003104,0.00003847,0.00004743,0.0000614,0.00007199,0.0001069,0.0001541,0.0001816,0.0002316,0.0005108,0.0007812,0.00002871,0.00003877,0.00004734,0.00005607,0.00006536,0.00007495,0.00008624,0.00009929,0.000122,0.000138,0.0001717,0.0002413,0.0002736,0.0003224,0.0005824,0.0008134
1128,-29.5,2.438E-07,0.000000183,1.415E-07,5.307E-07,2.275E-07,-0.00000611,0,0.000004886,0.000009433,0.00001395,0.0000187,0.00002406,0.00003072,0.00004004,0.00004737,0.00007253,0.0001201,0.000147,0.000191,0.0004165,0.0006066,-0.00000636,3.625E-08,0.000005608,0.00001105,0.00001683,0.00002347,0.00003148,0.00004175,0.00005708,0.0000696,0.0001157,0.0001653,0.0001985,0.0002525,0.0005005,0.000709,0.00003177,0.00004439,0.00005421,0.00006518,0.00007734,0.0000882,0.000106,0.0001226,0.0001475,0.0001685,0.0002269,0.0002808,0.0003129,0.0003686,0.0006338,0.0008596,-0.0000217,-0.0000178,-0.0000147,-0.0000117,-0.00000869,-0.00000534,-0.00000143,0.000003594,0.00001139,0.00001821,0.00004213,0.00007746,0.0000946,0.0001237,0.0003138,0.0005355,-0.0000028,0.000003841,0.000009789,0.00001547,0.00002163,0.00002874,0.00003791,0.00005083,0.00007086,0.00008727,0.0001213,0.0001817,0.0002106,0.0002665,0.0005106,0.0007297
1144,-39.4,3.293E-07,3.687E-07,2.529E-07,7.946E-07,3.109E-07,-0.00000476,0,0.000003645,0.000007063,0.00001059,0.00001455,0.00001948,0.00002697,0.0000455,0.00005741,0.00008073,0.0001048,0.0001159,0.000136,0.0003088,0.0005389,-0.0000173,-0.0000122,-0.00000711,-0.00000124,0.000005374,0.00001257,0.00002102,0.00003089,0.00004452,0.00005507,0.00008553,0.0001215,0.0001486,0.0002146,0.0004849,0.0007437,0.00003475,0.00004694,0.00005909,0.00007144,0.00008132,0.00009188,0.0001068,0.000124,0.0001491,0.0001753,0.0001991,0.0002859,0.0003238,0.0003763,0.0006707,0.0009743,-0.0000148,-0.00000938,-0.00000464,2.065E-08,0.000004965,0.0000106,0.00001749,0.00002665,0.00004094,0.00005209,0.00008313,0.0001333,0.0001588,0.0002057,0.0004651,0.0007341,0.0000129,0.00002275,0.00003209,0.00004113,0.00004989,0.00005944,0.00007137,0.00008706,0.0001071,0.0001222,0.0001687,0.0002245,0.0002583,0.0003161,0.0005914,0.0008633
1164,-21.034,2.263E-07,2.399E-07,2.461E-07,6.128E-07,3.402E-07,-0.00000735,0,0.000005904,0.00001173,0.00001793,0.00002454,0.000032,0.0000417,0.00005686,0.00007149,0.0000999,0.0001488,0.0001855,0.0002361,0.0004794,0.0007122,-0.00000782,7.614E-07,0.000007848,0.00001479,0.00002231,0.00003083,0.000041,0.0000538,0.00007051,0.00008593,0.0001287,0.0001881,0.0002315,0.0002873,0.0005644,0.0008251,0.0000143,0.00002719,0.00003839,0.00004857,0.00006077,0.00007469,0.00008812,0.0001076,0.0001405,0.0001612,0.0001951,0.0002811,0.0003146,0.0003778,0.0006739,0.0009877,-0.0000287,-0.0000244,-0.0000208,-0.0000174,-0.000014,-0.0000103,-0.00000601,-0.000000485,0.00000814,0.0000159,0.0000407,0.00007813,0.00009841,0.0001348,0.0003708,0.0006253,-0.0000235,-0.0000184,-0.000014,-0.00000995,-0.00000574,-0.00000116,0.000004307,0.00001147,0.000023,0.00003477,0.0000639,0.0001228,0.0001546,0.0002103,0.0004838,0.0007439
1172,-21.034,2.694E-07,2.758E-07,2.774E-07,6.528E-07,3.554E-07,-0.00000686,0,0.000006013,0.00001196,0.00001773,0.00002393,0.00003132,0.00004097,0.00005499,0.00006841,0.00009421,0.0001487,0.0001855,0.0002314,0.0004727,0.0007026,-0.00000671,0.000001263,0.000008217,0.0000151,0.00002228,0.00003039,0.00003978,0.0000516,0.00007038,0.0000847,0.0001246,0.0001929,0.0002254,0.0002891,0.0005677,0.0008387,0.00001529,0.00002829,0.00003994,0.00005243,0.00006354,0.00007571,0.00009074,0.0001102,0.0001384,0.0001639,0.0001982,0.0002715,0.0003169,0.0003835,0.0006833,0.0010115,-0.000028,-0.0000236,-0.00002,-0.0000165,-0.0000128,-0.00000875,-0.00000378,0.000002981,0.00001424,0.00002447,0.00005821,0.00009754,0.0001214,0.0001632,0.0004064,0.000675,-0.000021,-0.0000155,-0.0000108,-0.00000639,-0.00000179,0.000003394,0.000009729,0.00001841,0.00003406,0.00004744,0.00008461,0.0001459,0.0001769,0.0002371,0.0005162,0.000789
1186,-9.988,2.435E-07,2.126E-07,2.745E-07,5.152E-07,0.000000863,-0.00000772,0,0.000006227,0.00001242,0.0000189,0.00002635,0.00003581,0.00004669,0.00006422,0.00007551,0.0001165,0.0001678,0.0001929,0.0002413,0.0004655,0.0006598,-0.00000852,-0.00000105,0.000005768,0.00001277,0.00001992,0.0000276,0.00003684,0.00004971,0.00006827,0.00008259,0.0001173,0.0001786,0.0002088,0.0002607,0.000487,0.0006812,-0.0000118,0.000002977,0.00001305,0.00002056,0.00002752,0.00003636,0.00004936,0.00006504,0.0001007,0.0001123,0.0001621,0.0002076,0.0002298,0.000289,0.0005308,0.0007205,-0.0000208,-0.0000162,-0.0000126,-0.00000941,-0.00000633,-0.00000325,4.511E-09,0.000003694,0.000008403,0.00001176,0.00002053,0.00003152,0.0000375,0.00005167,0.00027,0.0004645,-0.0000333,-0.0000296,-0.0000266,-0.0000238,-0.0000212,-0.0000184,-0.0000153,-0.0000117,-0.0000069,-0.00000327,0.000006932,0.00002128,0.00003095,0.00005417,0.0001641,0.000351
1195,-12.502,0.000000165,1.882E-07,2.557E-07,6.147E-07,3.736E-07,-0.00000798,0,0.000007032,0.00001369,0.00002106,0.00002931,0.00003867,0.00004941,0.00006855,0.00008195,0.0001259,0.000171,0.0001963,0.000251,0.0004988,0.0007394,-0.00000633,0.000003369,0.00001274,0.00002073,0.00002989,0.00003997,0.00005187,0.00006517,0.00008844,0.0001044,0.0001619,0.0002203,0.0002672,0.0003302,0.0006595,0.0009581,-0.00000152,0.00001045,0.0000208,0.00003138,0.00004347,0.00005758,0.00007401,0.00009572,0.0001222,0.0001425,0.0001819,0.0002804,0.0003296,0.0004031,0.0007218,0.0010795,-0.0000231,-0.0000173,-0.0000122,-0.00000719,-0.00000192,0.000003896,0.00001091,0.00002052,0.00003503,0.00004644,0.00008033,0.000148,0.000181,0.0002554,0.0005853,0.0009053,-0.0000341,-0.0000298,-0.0000261,-0.0000226,-0.0000189,-0.0000147,-0.00000974,-0.00000294,0.000007637,0.00001641,0.00004673,0.00008793,0.000116,0.0001692,0.0004705,0.0007739
1195,-24.077,2.683E-07,1.626E-07,1.363E-07,3.287E-07,1.517E-07,-0.00000649,0,0.000005467,0.00001087,0.00001624,0.00002218,0.00002929,0.00003828,0.00005268,0.00006345,0.00008845,0.0001398,0.0001723,0.0002143,0.0004389,0.0006499,-0.00000716,8.046E-08,0.00000617,0.00001215,0.0000188,0.00002698,0.00003687,0.00004819,0.00006369,0.00007951,0.0001292,0.0001822,0.0002162,0.0002771,0.0005568,0.0007879,0.00002318,0.0000371,0.00004921,0.00005872,0.0000739,0.00008748,0.0001037,0.0001274,0.0001527,0.00019,0.000234,0.0002619,0.0003181,0.0003835,0.0006459,0.0008934,-0.000027,-0.0000224,-0.0000182,-0.0000138,-0.00000885,-0.00000319,0.000003887,0.00001363,0.00002847,0.00004022,0.00008365,0.0001309,0.0001611,0.0002136,0.0004956,0.000794,-0.0000101,-0.00000229,0.000004746,0.00001239,0.0000213,0.00003076,0.00004251,0.00005886,0.00007905,0.00009907,0.0001556,0.000206,0.0002419,0.0003072,0.0005947,0.0008705
