Row,PBstart,PCstart,PDstart,PFstart,PArise,PBrise,PCrise,PDrise,PFrise,PAfall,PBfall,PCfall,PDfall,PFfall,PAwidth,PBwidth,PCwidth,PDwidth,PFwidth,y
1887,3.67e-06,1.381e-05,-1.71e-05,-2.86e-05,2.124e-05,2.706e-05,3.285e-05,1.489e-05,1.053e-05,0.0002496,0.0003204,0.0003185,0.0003244,0.0003092,0.0001968,0.000262,0.0003062,0.0002179,0.0001555,-12.502
2217,3.132e-06,1.377e-05,-1.63e-05,-2.77e-05,2.135e-05,2.455e-05,3.565e-05,1.608e-05,1.151e-05,0.0002121,0.0003248,0.000336,0.0003291,0.0003025,0.000208,0.000263,0.0002966,0.0002331,0.0001725,-12.502
2552,4.956e-06,1.241e-05,-1.76e-05,-2.85e-05,2.073e-05,2.528e-05,3.4e-05,1.461e-05,1.056e-05,0.0002235,0.0002897,0.0003276,0.0003176,0.0002822,0.0002086,0.0002533,0.0003034,0.0002153,0.0001489,-12.502
4380,4.852e-06,1.299e-05,-1.7e-05,-2.94e-05,2.093e-05,2.681e-05,3.55e-05,1.528e-05,9.974e-06,0.0002458,0.0002879,0.0002458,0.0003178,0.0002897,0.0002027,0.0002701,0.0003006,0.0002271,0.0001332,-12.502
4808,3.626e-06,1.129e-05,-1.73e-05,-2.88e-05,2.179e-05,2.597e-05,3.936e-05,1.528e-05,1.08e-05,0.0002341,0.0002959,0.0003323,0.0003137,0.0003108,0.0002041,0.00026,0.0002952,0.0002292,0.000161,-12.502
6016,3.463e-06,9.598e-06,-1.66e-05,-3.01e-05,2.085e-05,2.71e-05,3.514e-05,1.586e-05,1.033e-05,0.0002322,0.0003213,0.0003433,0.000335,0.0003016,0.0002003,0.0002715,0.00029,0.0002323,0.000143,-12.502
6296,3.668e-06,6.177e-06,-1.59e-05,-2.95e-05,2.143e-05,2.762e-05,3.91e-05,1.509e-05,9.947e-06,0.0002561,0.0003084,0.0003346,0.0003168,0.000288,0.0002123,0.0002624,0.0003119,0.0002329,0.0001392,-12.502
6667,3.137e-06,1.332e-05,-1.67e-05,-2.87e-05,2.02e-05,2.462e-05,3.609e-05,1.561e-05,1.161e-05,0.0002317,0.0003092,0.0003818,0.0003538,0.0003154,0.0002087,0.0002662,0.0002861,0.0002294,0.0001652,-12.502
7601,4.341e-06,1.142e-05,-1.71e-05,-3.06e-05,2.045e-05,2.757e-05,3.121e-05,1.531e-05,9.705e-06,0.0002307,0.0003263,0.0003391,0.0003209,0.0002841,0.0002026,0.0002655,0.00028,0.0002242,0.0001261,-12.502
7710,3.766e-06,1.293e-05,-1.65e-05,-3.01e-05,2.08e-05,2.727e-05,3.044e-05,1.592e-05,1.029e-05,0.0002541,0.0002822,0.0003166,0.0003079,0.0002944,0.0002032,0.0002656,0.0002947,0.0002329,0.0001471,-12.502
8569,4.874e-06,1.667e-05,-1.68e-05,-2.78e-05,2.17e-05,2.713e-05,3.221e-05,1.437e-05,1.026e-05,0.0002369,0.0003034,0.0003319,0.0003154,0.0002769,0.0002082,0.0002701,0.0002938,0.0002145,0.0001365,-12.502
8649,4.126e-06,1.39e-05,-1.76e-05,-2.89e-05,2e-05,2.634e-05,3.374e-05,1.555e-05,1.074e-05,0.0002288,0.0003365,0.0003469,0.0003144,0.0003068,0.0002056,0.0002642,0.0002944,0.0002253,0.0001556,-12.502
9027,3.082e-06,5.024e-06,-1.72e-05,-2.98e-05,2.203e-05,2.846e-05,3.666e-05,1.53e-05,9.829e-06,0.0002105,0.0003183,0.0003635,0.0003145,0.000288,0.0001992,0.0002712,0.0002972,0.0002284,0.0001195,-12.502
9083,4.851e-06,1.396e-05,-1.6e-05,-2.87e-05,2.052e-05,2.515e-05,3.535e-05,1.613e-05,1.117e-05,0.0002337,0.0003067,0.0003239,0.0003299,0.0003083,0.0002004,0.0002495,0.0002726,0.0002386,0.0001609,-12.502
10639,3.969e-06,1.574e-05,-1.7e-05,-2.96e-05,2.107e-05,2.685e-05,3.234e-05,1.482e-05,1.032e-05,0.0002067,0.000299,0.000288,0.0003134,0.0002885,0.0002007,0.0002583,0.000308,0.0002288,0.0001473,-12.502
10712,2.476e-06,1.048e-05,-1.62e-05,-3.11e-05,2.124e-05,2.6e-05,3.364e-05,1.658e-05,1.05e-05,0.0002418,0.000323,0.0003254,0.0003416,0.0003106,0.0002004,0.0002655,0.0002989,0.0002492,0.0001489,-12.502
11982,1.248e-06,1.048e-05,-1.57e-05,-3.01e-05,2.219e-05,2.484e-05,3.412e-05,1.833e-05,1.22e-05,0.0002123,0.0002877,0.00029,0.0003364,0.0002966,0.0002037,0.0002485,0.0002927,0.0002546,0.0001848,-12.502
13647,2.559e-06,1.397e-05,-1.64e-05,-2.8e-05,2.101e-05,2.457e-05,3.607e-05,1.679e-05,1.191e-05,0.0002224,0.0003273,0.0002869,0.0003567,0.0002972,0.0001978,0.0002451,0.0002804,0.0002397,0.0001847,-12.502
14224,4.241e-06,1.13e-05,-1.7e-05,-2.99e-05,2.074e-05,2.655e-05,3.637e-05,1.555e-05,1.068e-05,0.000244,0.0002967,0.0003211,0.0003352,0.000307,0.0002044,0.0002637,0.0002983,0.000234,0.0001579,-12.502
14252,2.239e-06,1.068e-05,-1.6e-05,-2.9e-05,2.057e-05,2.656e-05,3.746e-05,1.657e-05,1.127e-05,0.0002143,0.0003353,0.0003458,0.0003446,0.0002902,0.0002028,0.0002589,0.0002888,0.0002339,0.0001644,-12.502
15717,5.001e-06,1.834e-05,-1.87e-05,-2.51e-05,1.942e-05,2.375e-05,3.981e-05,1.517e-05,1.245e-05,0.000243,0.0002879,0.0003325,0.0003332,0.0003103,0.0002002,0.0002619,0.0002941,0.000219,0.0001862,-12.502
15743,3.319e-06,7.924e-06,-1.57e-05,-3.03e-05,2.137e-05,2.79e-05,3.36e-05,1.572e-05,9.972e-06,0.0002443,0.0003146,0.0002675,0.0003271,0.0002941,0.0002075,0.0002639,0.0003115,0.0002379,0.0001354,-12.502
19004,3.289e-06,1.219e-05,-1.54e-05,-2.95e-05,2.219e-05,2.687e-05,3.616e-05,1.803e-05,1.138e-05,0.0002074,0.000263,0.0003106,0.0003289,0.0003,0.0001977,0.0002393,0.0002954,0.0002466,0.0001753,-12.502
19126,5.557e-06,1.17e-05,-1.72e-05,-2.86e-05,2.088e-05,2.634e-05,3.318e-05,1.472e-05,1.013e-05,0.0002262,0.0003009,0.0002806,0.0002903,0.0002921,0.0002103,0.0002713,0.0003149,0.0002229,0.0001305,-12.502
19568,2.196e-06,1.039e-05,-1.62e-05,-2.98e-05,2.17e-05,2.812e-05,3.455e-05,1.636e-05,1.058e-05,0.0002607,0.0003585,0.0003722,0.0003541,0.0003024,0.0001961,0.0002667,0.0002865,0.0002411,0.0001489,-12.502
20661,4.15e-06,1.331e-05,-1.58e-05,-2.98e-05,2.058e-05,2.373e-05,3.309e-05,1.646e-05,1.128e-05,0.0002163,0.0002913,0.0003666,0.0003407,0.0002847,0.0002044,0.0002609,0.0003013,0.00024,0.0001644,-12.502
21185,3.774e-07,1.13e-05,-1.55e-05,-2.89e-05,2.105e-05,2.625e-05,3.532e-05,1.737e-05,1.243e-05,0.0002286,0.0003285,0.0003175,0.000377,0.0003178,0.0002028,0.0002426,0.0002931,0.0002427,0.0001912,-12.502
21567,3.79e-06,1.422e-05,-1.57e-05,-2.8e-05,1.973e-05,2.525e-05,3.734e-05,1.7e-05,1.144e-05,0.0002252,0.0002669,0.0003409,0.0003559,0.0003,0.0002044,0.0002651,0.000287,0.0002353,0.0001639,-12.502
22323,4.085e-06,1.239e-05,-1.78e-05,-3.04e-05,2.124e-05,2.774e-05,3.339e-05,1.523e-05,1.023e-05,0.0002273,0.0003848,0.0003901,0.000325,0.0002898,0.0002023,0.000252,0.0002761,0.0002305,0.0001389,-12.502
23281,4.751e-06,1.103e-05,-1.61e-05,-2.96e-05,2.17e-05,2.604e-05,3.6e-05,1.648e-05,1.042e-05,0.0002331,0.0003458,0.0004172,0.0003401,0.0002973,0.0001988,0.0002652,0.0003068,0.000233,0.000144,-12.502
24681,3.702e-06,1.217e-05,-1.55e-05,-2.97e-05,2.157e-05,2.789e-05,3.561e-05,1.657e-05,1.061e-05,0.0002669,0.0003456,0.0003827,0.00037,0.0003146,0.0002059,0.0002528,0.0002964,0.0002483,0.0001504,-12.502
26792,3.664e-06,1.08e-05,-1.52e-05,-2.97e-05,2.215e-05,2.567e-05,3.633e-05,1.658e-05,1.104e-05,0.0002427,0.0003183,0.0003183,0.0003284,0.000304,0.0001978,0.000262,0.0003012,0.0002474,0.0001622,-12.502
27454,5.097e-06,1.433e-05,-1.77e-05,-2.83e-05,2.111e-05,2.575e-05,3.449e-05,1.544e-05,1.079e-05,0.0002582,0.0003874,0.0003993,0.0003933,0.0003143,0.0002026,0.0002669,0.0003005,0.0002299,0.000154,-12.502
27803,2.217e-06,9.345e-06,-1.5e-05,-2.95e-05,2.118e-05,2.618e-05,3.424e-05,1.727e-05,1.105e-05,0.00023,0.0003091,0.0002984,0.0003624,0.0002998,0.0002014,0.0002552,0.0003089,0.00024,0.0001601,-12.502
28193,3.647e-06,1.55e-05,-1.67e-05,-2.78e-05,2.107e-05,2.607e-05,3.472e-05,1.61e-05,1.151e-05,0.0002573,0.0003443,0.0003363,0.000356,0.0003318,0.0002039,0.0002629,0.0002962,0.000233,0.0001664,-12.502
28311,3.379e-06,1.657e-05,-1.61e-05,-2.71e-05,2.1e-05,2.552e-05,3.524e-05,1.637e-05,1.169e-05,0.0002249,0.0003403,0.000305,0.0003506,0.0003184,0.0002045,0.0002738,0.0002741,0.0002372,0.0001771,-12.502
28760,2.543e-06,9.857e-06,-1.58e-05,-3e-05,2.101e-05,2.653e-05,3.536e-05,1.687e-05,1.064e-05,0.0002391,0.0002982,0.0002924,0.0003358,0.0003036,0.0001991,0.0002673,0.0002846,0.0002437,0.0001509,-12.502
30322,4.119e-06,1.249e-05,-1.73e-05,-2.89e-05,2.105e-05,2.634e-05,3.724e-05,1.579e-05,1.035e-05,0.0002511,0.0003068,0.0004214,0.000326,0.0003046,0.0002013,0.0002672,0.0002921,0.0002283,0.0001503,-12.502
30769,4.375e-06,1.347e-05,-1.55e-05,-2.92e-05,2.14e-05,2.549e-05,3.172e-05,1.782e-05,1.072e-05,0.0002246,0.0003136,0.0003775,0.0003637,0.0003075,0.0002001,0.0002527,0.0002928,0.000244,0.000164,-12.502
32030,2.488e-06,1.235e-05,-1.6e-05,-2.83e-05,2.119e-05,2.504e-05,3.363e-05,1.662e-05,1.143e-05,0.0002226,0.0003284,0.0003265,0.0003627,0.0002999,0.0002019,0.0002574,0.000296,0.0002359,0.0001775,-12.502
34650,2.943e-06,1.14e-05,-1.56e-05,-2.86e-05,2.099e-05,2.861e-05,3.726e-05,1.625e-05,1.095e-05,0.000226,0.0003376,0.00034,0.0003709,0.000293,0.0002079,0.0002639,0.000296,0.000241,0.0001526,-12.502
34920,5.251e-06,1.102e-05,-1.57e-05,-3.03e-05,2.246e-05,2.587e-05,3.651e-05,1.615e-05,1.02e-05,0.0002148,0.0002857,0.0003003,0.000321,0.000304,0.0002009,0.0002507,0.0002958,0.0002455,0.0001478,-12.502
35056,2.734e-06,1.449e-05,-1.52e-05,-2.67e-05,2.309e-05,2.548e-05,3.495e-05,1.725e-05,1.222e-05,0.0002593,0.0003537,0.000326,0.0003577,0.0003308,0.0001988,0.0002443,0.0002923,0.0002423,0.0001808,-12.502
35811,4.347e-06,1.52e-05,-1.69e-05,-2.85e-05,2.107e-05,2.702e-05,3.391e-05,1.512e-05,1.045e-05,0.0002401,0.0002762,0.0003007,0.0003212,0.0002981,0.0002045,0.0002601,0.000301,0.0002284,0.00015,-12.502
35884,1.999e-06,1.186e-05,-1.61e-05,-2.91e-05,2.061e-05,2.551e-05,3.601e-05,1.678e-05,1.134e-05,0.0002237,0.0002696,0.0003396,0.0003275,0.0003078,0.0002045,0.0002725,0.000306,0.0002391,0.000172,-12.502
36752,3.262e-06,1.28e-05,-1.75e-05,-2.9e-05,2.103e-05,2.619e-05,3.39e-05,1.628e-05,1.102e-05,0.0002183,0.0003052,0.0003608,0.0003554,0.0003057,0.0002012,0.0002547,0.0002958,0.0002331,0.0001594,-12.502
37554,3.659e-06,1.198e-05,-1.63e-05,-2.91e-05,2.136e-05,2.641e-05,3.487e-05,1.586e-05,1.032e-05,0.0002576,0.0002853,0.0003211,0.0003289,0.0003057,0.0002048,0.0002675,0.0002923,0.0002257,0.0001477,-12.502
37706,2.955e-06,1.44e-05,-1.66e-05,-2.95e-05,2.108e-05,2.597e-05,3.272e-05,1.588e-05,1.13e-05,0.0002212,0.0002899,0.0002898,0.0003218,0.0002984,0.0002106,0.0002672,0.0003088,0.0002308,0.0001663,-12.502
37738,3.687e-06,1.428e-05,-1.54e-05,-2.82e-05,2.284e-05,2.376e-05,3.398e-05,1.671e-05,1.171e-05,0.0002315,0.0002891,0.0004008,0.0003226,0.0003081,0.00019,0.0002397,0.0002822,0.0002359,0.0001745,-12.502
38057,2.841e-06,1.275e-05,-1.59e-05,-2.87e-05,2.122e-05,2.684e-05,3.516e-05,1.625e-05,1.093e-05,0.0002129,0.000333,0.0003425,0.0003436,0.0002889,0.0001994,0.000266,0.0002944,0.0002397,0.000155,-12.502
38211,3.272e-06,1.375e-05,-1.7e-05,-2.95e-05,2.151e-05,2.634e-05,3.37e-05,1.594e-05,1.092e-05,0.0002422,0.0002914,0.0003159,0.0003186,0.0003011,0.0001984,0.0002633,0.0002949,0.0002455,0.00016,-12.502
39879,3.746e-06,1.099e-05,-1.79e-05,-2.85e-05,2.075e-05,2.577e-05,3.548e-05,1.542e-05,1.072e-05,0.0002497,0.000337,0.00035,0.0003207,0.0003053,0.0002006,0.000254,0.0002848,0.0002231,0.0001593,-12.502
40240,2.384e-06,1.668e-05,-1.61e-05,-2.69e-05,2.093e-05,2.578e-05,3.64e-05,1.602e-05,1.167e-05,0.0002757,0.0003882,0.0006306,0.0003924,0.0003443,0.0002102,0.0002705,0.0003053,0.0002351,0.0001737,-12.502
42149,5.719e-06,1.613e-05,-1.76e-05,-2.86e-05,2.185e-05,2.613e-05,3.048e-05,1.434e-05,1.011e-05,0.0002266,0.0003027,0.0003262,0.0003301,0.0002953,0.0002052,0.0002579,0.0002949,0.0002177,0.0001469,-12.502
42504,1.997e-06,1.295e-05,-1.56e-05,-2.85e-05,2.108e-05,2.422e-05,3.706e-05,1.823e-05,1.286e-05,0.000193,0.0003024,0.0003149,0.0003422,0.0003023,0.0002026,0.0002377,0.0002866,0.0002461,0.0001896,-12.502
44311,3.772e-06,1.135e-05,-1.7e-05,-2.87e-05,2.085e-05,2.65e-05,3.674e-05,1.478e-05,1.027e-05,0.000241,0.0003381,0.0003352,0.0003193,0.0002967,0.0002049,0.0002555,0.0002832,0.0002205,0.0001436,-12.502
47601,3.196e-06,1.122e-05,-1.63e-05,-2.89e-05,2.157e-05,2.786e-05,3.394e-05,1.533e-05,1.04e-05,0.0002464,0.0003446,0.0003634,0.0003615,0.0003008,0.0002055,0.0002691,0.0002962,0.0002308,0.0001477,-12.502
47772,3.374e-06,6.677e-06,-1.48e-05,-3.15e-05,2.329e-05,2.912e-05,3.314e-05,1.777e-05,9.889e-06,0.0002583,0.0003588,0.0003811,0.0004001,0.0002922,0.0002128,0.0002735,0.0003162,0.0002638,0.0001256,-12.502
49286,2.592e-06,1.045e-05,-1.47e-05,-2.92e-05,2.065e-05,2.639e-05,3.253e-05,1.693e-05,1.104e-05,0.0002325,0.0002922,0.000327,0.000325,0.0003069,0.0002057,0.000256,0.0003018,0.0002434,0.0001605,-12.502
50025,2.955e-06,1.585e-05,-1.77e-05,-2.82e-05,2.041e-05,2.367e-05,3.458e-05,1.708e-05,1.214e-05,0.0002293,0.0002801,0.0002724,0.000325,0.0002992,0.0002049,0.0002641,0.0002808,0.0002354,0.0001839,-12.502
