PAamp,PAf20,PAf40,PAf80,PAf90,PAf95,PAr10,PAr100,PAr20,PAr30,PAr40,PAr50,PAr60,PAr70,PAr80,PAr90,PAr95,PBamp,PBf20,PBf40,PBf80,PBf90,PBf95,PBr10,PBr100,PBr20,PBr30,PBr40,PBr50,PBr60,PBr70,PBr80,PBr90,PBr95,PCamp,PCf20,PCf40,PCf80,PCf90,PCf95,PCr10,PCr100,PCr20,PCr30,PCr40,PCr50,PCr60,PCr70,PCr80,PCr90,PCr95,PDamp,PDf20,PDf40,PDf80,PDf90,PDf95,PDr10,PDr100,PDr20,PDr30,PDr40,PDr50,PDr60,PDr70,PDr80,PDr90,PDr95,PFamp,PFf20,PFf40,PFf80,PFf90,PFf95,PFr10,PFr100,PFr20,PFr30,PFr40,PFr50,PFr60,PFr70,PFr80,PFr90,PFr95,Row,y
-2.88e-06,-2.41e-05,0.0002904,-8.37e-06,0.0003808,0.0003198,9146,-2.27e-06,3.518e-05,0.0004307,2e-05,0.0001326,2.705e-05,1.49e-05,5.26e-05,0.0001131,8.319e-07,0,0.0006987,-1.63e-05,2.214e-05,5.01e-05,3.898e-05,6.18e-07,3.051e-07,6.796e-05,7.146e-05,0.0002275,-1.28e-05,0.0001785,0.0001533,-2.16e-05,4.966e-05,9.238e-05,0.0004747,0.0010014,1.026e-05,0.0005677,0.0002342,-7.91e-06,0.0001385,3.944e-05,3.428e-06,2.848e-05,3.454e-07,0.0002483,3.008e-05,2.394e-05,-2.85e-05,9.179e-05,7.726e-05,0.0007062,-7.2e-06,-1.67e-05,1.775e-05,9.798e-05,0.0001832,7.995e-06,0.0008248,0.0001889,2.731e-07,4.661e-06,0.0007075,1.427e-05,2.934e-07,4.11e-05,0.0001943,8.647e-05,3.145e-05,6.285e-05,1.728e-05,5.558e-05,0.0001339,0.000234,1.195e-05,0.0001076,0.0001531,0.0008463,0.0001564,-2.03e-05,6.118e-05,-1.17e-05,0.0005357,6.23e-06,-7.75e-06,0.000272,-21.034
8.776e-06,-1.19e-05,0.0002523,4.536e-06,0.0002436,0.0001902,92892,-2.25e-05,-8.97e-06,0.0003656,-1.34e-05,5.383e-05,-1.75e-05,8.22e-06,5.045e-05,3.359e-05,-6.9e-06,0,0.0004685,-3.14e-05,1.676e-05,-7.08e-06,-1.21e-05,4.606e-07,2.805e-07,8.713e-05,6.743e-05,9.951e-05,5.469e-07,7.244e-05,1.558e-05,-3.56e-05,-5.62e-06,3.511e-06,0.0004643,0.0006906,-1.68e-05,0.0004649,0.0002518,-1.42e-05,5.025e-05,3.846e-05,-1.97e-05,2.4e-05,1.146e-06,3.449e-05,2.751e-05,3.112e-05,-1.76e-05,1.796e-05,6.293e-06,0.0006447,-2.52e-05,-3.36e-06,2.277e-05,0.0001283,0.0002095,2.545e-07,0.0002876,2.208e-05,4.244e-07,1.357e-05,0.0005645,-2.37e-05,2.873e-07,5.659e-05,0.0001777,8.69e-05,4.171e-05,-1.39e-06,1.974e-05,7.474e-05,0.0001395,0.0002,1.53e-05,4.702e-05,0.00017,0.0006517,5.943e-05,-7.43e-06,3.471e-05,-2.81e-05,0.000116,7.636e-06,-8.59e-06,0.0001685,0.0
2.448e-05,-4.83e-06,0.0001884,1.712e-05,0.0003732,0.0003281,96563,5.992e-05,0.0001205,0.0005278,9.886e-05,0.0001841,5.737e-05,7.558e-06,3.837e-05,0.0001409,-3.68e-06,0,0.0006466,3.223e-05,1.399e-05,8.004e-05,6.988e-05,3.418e-07,2.593e-07,6.577e-05,5.073e-05,0.000222,1.085e-05,0.0002392,0.0002466,2.168e-05,0.000137,0.0001844,0.0003583,0.0008835,8.325e-05,0.0004665,0.0001695,-8.94e-06,0.0001648,2.881e-05,7.035e-05,6.172e-05,2.08e-07,0.0003315,2.1e-05,1.935e-05,-1.06e-05,0.0001191,0.0001047,0.0005497,5.061e-05,5.277e-06,1.332e-05,9.647e-05,0.0001409,1.709e-06,0.0008334,0.000276,2.165e-07,3.495e-05,0.0008182,4.507e-05,4.284e-07,3.781e-05,0.0001172,6.095e-05,2.721e-05,9.328e-05,5.044e-05,5.351e-05,8.847e-05,0.0001375,8.386e-06,0.0001558,0.0001271,0.0007024,0.0001817,1.877e-07,0.0001004,4.13e-05,0.000592,4.074e-06,-4.45e-06,0.0002735,-36.116
3.244e-05,3.039e-06,0.0002221,2.499e-05,0.0003902,0.0003301,28767,5.98e-05,0.0001163,0.0005192,9.557e-05,0.0001837,5.688e-05,1.129e-05,4.466e-05,0.0001328,-2.3e-06,0,0.0006956,3.392e-05,1.856e-05,7.846e-05,6.783e-05,4.868e-07,3.625e-07,6.86e-05,5.806e-05,0.0002242,1.877e-05,0.0002363,0.000237,2.374e-05,0.0001324,0.0001762,0.000359,0.0009697,8.094e-05,0.0005213,0.0001738,-8.25e-06,0.000158,3.476e-05,6.971e-05,6.91e-05,2.735e-07,0.0003283,2.615e-05,2.039e-05,-2.86e-06,0.0001171,0.0001014,0.0005751,5.112e-05,1.337e-05,1.376e-05,9.786e-05,0.0001484,4.078e-06,0.0008907,0.0002694,2.546e-07,4.221e-05,0.0008111,4.393e-05,4.451e-07,4.068e-05,0.0001414,6.928e-05,2.888e-05,8.951e-05,5.684e-05,5.681e-05,9.866e-05,0.0001665,8.509e-06,0.000154,0.0001325,0.0008041,0.0001749,8.255e-06,0.0001106,4.253e-05,0.0006059,4.11e-06,-4.53e-06,0.0002902,-41.01
2.252e-05,-4.54e-06,0.0002045,1.57e-05,0.0003801,0.0003153,102615,5.646e-05,0.0001134,0.0004549,9.377e-05,0.000157,5.642e-05,4.253e-06,3.278e-05,0.0001388,-4.99e-06,0,0.0006485,3.004e-05,9.882e-06,7.913e-05,6.762e-05,4.545e-07,2.572e-07,4.768e-05,4.506e-05,0.0002507,1.001e-05,0.0002045,0.0002328,1.878e-05,0.0001294,0.0001699,0.0003257,0.0009109,7.892e-05,0.0004736,0.0001284,-9.71e-06,0.0001589,2.381e-05,6.555e-05,5.56e-05,2.132e-07,0.0003187,1.635e-05,1.524e-05,-9.99e-06,0.0001209,0.0001009,0.0005148,4.754e-05,4.995e-06,1.091e-05,7.15e-05,0.0001072,-5.48e-07,0.000807,0.0002633,2.011e-07,3.123e-05,0.0007005,4.305e-05,3.785e-07,2.806e-05,0.0001075,5.377e-05,2.054e-05,8.737e-05,4.413e-05,3.918e-05,7.79e-05,0.0001429,7.118e-06,0.0001331,9.307e-05,0.0006999,0.0001836,2.739e-07,8.19e-05,3.869e-05,0.0005718,3.59e-06,-4.27e-06,0.000299,-36.116
4.151e-06,-1.43e-05,0.000249,5.678e-07,0.0002904,0.0002383,37154,-2.17e-05,-7.58e-06,0.0002438,-1.23e-05,3.954e-05,-4.27e-07,1.026e-05,4.526e-05,5.849e-05,-2.26e-06,0,0.0005247,-3.03e-05,1.672e-05,1.596e-05,7.832e-06,6.781e-07,3.115e-07,7.97e-05,6.297e-05,0.0001636,-2.88e-06,4.796e-05,2.11e-05,-3.42e-05,-3.98e-06,6.057e-06,0.0004783,0.0007549,-1.59e-05,0.0004813,0.0002494,-9.69e-06,8.224e-05,3.404e-05,-1.89e-05,1.654e-05,1.148e-06,5.56e-05,2.452e-05,2.742e-05,-1.99e-05,4.597e-05,3.411e-05,0.0006978,-2.44e-05,-6.37e-06,1.987e-05,0.0001124,0.0001945,4.112e-06,0.0003464,3.15e-05,4.178e-07,8.128e-06,0.0004533,-1.06e-05,3.164e-07,4.674e-05,0.0001697,8.02e-05,3.587e-05,2.49e-05,1.308e-05,6.48e-05,0.0001244,0.0002002,1.324e-05,3.483e-05,0.000168,0.0006942,0.0001083,-1e-05,2.525e-05,-2.72e-05,0.0001615,6.668e-06,-8.24e-06,0.000198,-9.988
-5.27e-06,-2.83e-05,0.0002902,-1.11e-05,0.0003764,0.0003258,121722,-5.38e-06,3.464e-05,0.0004263,1.833e-05,0.0001258,2.347e-05,1.523e-05,5.429e-05,0.0001087,1.31e-06,0,0.0006538,-2.06e-05,2.285e-05,4.519e-05,3.477e-05,4.265e-07,1.843e-07,7.072e-05,7.405e-05,0.0002086,-1.6e-05,0.0001698,0.000145,-2.64e-05,4.858e-05,8.787e-05,0.0004519,0.0008968,8.019e-06,0.0005605,0.0002328,-6.45e-06,0.000133,4.07e-05,6.856e-07,2.615e-05,2.432e-07,0.0002396,3.109e-05,2.35e-05,-3.3e-05,8.744e-05,7.01e-05,0.0006593,-1.07e-05,-2.03e-05,1.735e-05,9.827e-05,0.0001809,8.439e-06,0.0007624,0.0001808,1.863e-07,2.74e-06,0.000678,8.843e-06,2.151e-07,4.109e-05,0.0001956,9.015e-05,3.13e-05,5.881e-05,1.53e-05,5.523e-05,0.0001334,0.0002343,1.149e-05,0.0001003,0.0001496,0.0007825,0.0001553,-2.43e-05,6.067e-05,-1.55e-05,0.0005186,5.861e-06,-7.43e-06,0.0002753,-21.034
3.792e-06,-1.56e-05,0.0002574,-9.82e-08,0.0002628,0.0002077,144501,-2.26e-05,-8.94e-06,0.0003052,-1.35e-05,4.104e-05,-1.53e-05,-2.01e-06,5.454e-05,4.63e-05,-1.18e-05,0,0.0004967,-3.09e-05,4.012e-06,-5.21e-06,-1.06e-05,3.769e-07,1.968e-07,8.501e-05,7.078e-05,0.0001327,-3.81e-06,4.972e-05,1.703e-05,-3.48e-05,-5.48e-06,3.905e-06,0.0004701,0.0006914,-1.69e-05,0.0004699,0.0002562,-1.73e-05,6.407e-05,3.822e-05,-1.99e-05,1.692e-05,8.675e-07,4.148e-05,1.363e-05,2.982e-05,-2.1e-05,3.066e-05,1.488e-05,0.000681,-2.53e-05,-7.49e-06,2.149e-05,0.0001271,0.0002038,-6.99e-06,0.0002922,2.554e-05,2.673e-07,8.085e-06,0.0005012,-2.05e-05,2.104e-07,5.249e-05,0.0001775,8.378e-05,4.018e-05,2.578e-06,1.333e-05,7.091e-05,0.0001287,0.0002038,1.407e-05,3.605e-05,0.0001676,0.0006761,8.364e-05,-1.13e-05,2.55e-05,-2.8e-05,0.000122,7.044e-06,-8.68e-06,0.0001634,-3.969
2.534e-06,-1.48e-05,0.0002468,-8.5e-07,0.0002892,0.0002383,50863,-2.08e-05,-6.87e-06,0.0002337,-1.15e-05,3.678e-05,3.224e-06,1.176e-05,4.889e-05,6.635e-05,-1.13e-06,0,0.0005296,-2.92e-05,1.885e-05,1.907e-05,1.212e-05,5.501e-07,2.392e-07,7.623e-05,6.588e-05,0.0001454,-4.09e-06,4.499e-05,1.957e-05,-3.31e-05,-3.38e-06,6.248e-06,0.0004592,0.0007324,-1.51e-05,0.0004529,0.0002434,-8.65e-06,8.581e-05,3.732e-05,-1.81e-05,1.443e-05,9.289e-07,4.61e-05,2.726e-05,2.727e-05,-2e-05,5.219e-05,4.121e-05,0.0006696,-2.35e-05,-7.37e-06,1.987e-05,0.000131,0.0001968,5.242e-06,0.0003258,2.774e-05,3.057e-07,6.318e-06,0.0004489,-1.22e-05,2.517e-07,4.8e-05,0.0001694,8.02e-05,3.638e-05,2.671e-05,1.109e-05,6.261e-05,0.0001278,0.0002017,1.327e-05,3.219e-05,0.0001664,0.0006857,0.0001242,-1.08e-05,2.304e-05,-2.62e-05,0.0001475,6.821e-06,-8.86e-06,0.0001906,-9.988
-1.51e-06,-1.77e-05,0.0002635,-4.88e-06,0.0002956,0.0002311,29047,-2.09e-05,-6.16e-06,0.0003266,-1.12e-05,7.667e-05,3.842e-06,1.373e-05,5.423e-05,7.135e-05,-6.83e-07,0,0.0005607,-2.94e-05,2.116e-05,2.063e-05,1.201e-05,5.828e-07,2.4e-07,7.587e-05,7.262e-05,0.0001672,-7.99e-06,0.0001163,3.443e-05,-3.32e-05,-2.2e-06,1.04e-05,0.0004757,0.0007517,-1.5e-05,0.0005115,0.0002398,-8.88e-06,9.551e-05,3.984e-05,-1.81e-05,1.164e-05,9.41e-07,8.272e-05,2.933e-05,2.622e-05,-2.23e-05,5.672e-05,3.916e-05,0.0006834,-2.36e-05,-1.1e-05,1.892e-05,0.0001184,0.0001961,6.379e-06,0.0004182,5.558e-05,3.046e-07,2.41e-06,0.0005458,-9.67e-06,3.008e-07,4.444e-05,0.0001872,8.658e-05,3.431e-05,2.916e-05,7.68e-06,6.241e-05,0.0001352,0.0002142,1.268e-05,4.82e-05,0.0001632,0.0007281,0.0001144,-1.42e-05,2.4e-05,-2.64e-05,0.0002193,6.583e-06,-7.93e-06,0.0001875,-9.988
